"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Sumatran Rhinoceros","Dicerorhinus sumatrensis","CHORDATA","MAMMALIA","PERISSODACTYLA","RHINOCEROTIDAE",18493355,2019-05-29,"CR","3.1","A2cd+3cd+4cd; C2a(i); D","A2cd+3cd+4cd; C2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3000","12796","30","4",4,10,10,10,4000,1,400,NA
"2","Kolopaking's Paphiopedilum","Paphiopedilum kolopakingii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327899,2014-11-20,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"3","Liem's Paphiopedilum","Paphiopedilum liemianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327909,2014-11-17,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"4","Primrose Yellow Paphiopedilum","Paphiopedilum primulinum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327954,2014-04-05,"CR","3.1","A2acd+3cd+4acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","8","8","49","1",4,10,10,10,4000,1,400,NA
"5",NA,"Nepenthes rigidifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",49009927,2013-12-06,"CR","3.1","A2ad+3d; B1ab(iv,v)+2ab(iv,v); C2a(i,ii); D","A2ad+3d; B1ab(iv,v)+2ab(iv,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,"Yes","Yes","0.01","0.01","10","1",4,10,10,10,4000,1,400,NA
"6","Lagan Bras","Dipterocarpus cinereus","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628179,2019-10-24,"CR","3.1","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,NA,"28","42.015","30","1",4,10,10,10,4000,1,400,NA
"7",NA,"Hopea bancana","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628426,2019-02-14,"CR","3.1","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,NA,"16","16","9","1",4,10,10,10,4000,1,400,NA
"8","Siau Island Tarsier","Tarsius tumpara","CHORDATA","MAMMALIA","PRIMATES","TARSIIDAE",17977202,2015-11-23,"CR","3.1","A2acd+4acd; B1ab(iii,v)","A2acd+4acd; B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"156",NA,"1",4,10,10,9,3600,8,400,NA
"9",NA,"Nepenthes sumatrana","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",21845285,2013-12-08,"CR","3.1","A3c; B1ab(i,ii,iii,v)","A3c; B1ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"No","56","56","5000","14",4,10,10,9,3600,8,400,NA
"10",NA,"Caridina spongicola","ARTHROPODA","MALACOSTRACA","DECAPODA","ATYIDAE",109685164,2018-02-19,"CR","3.1","A3cde; B1ab(iii,v)+2ab(iii,v)","A3cde; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Unknown",NA,NA,NA,NA,NA,NA,"Yes","8","8",NA,"1",4,10,10,9,3600,8,400,NA
