"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Conturbatia crenata","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","STREPTAXIDAE",6458885,2006-01-11,"CR","3.1","A2a; D","A2a; D",1,"Unknown",NA,"No",NA,NA,NA,NA,"Yes","1","1","0-50","1",4,10,10,10,4000,1,400,NA
"2",NA,"Seychellea sechellarum","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",8843195,2007-02-01,"CR","3.1","A2c; B1ab(v); C2a(i); D","A2c; B1ab(v); C2a(i); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"33","50","2",4,10,10,10,4000,1,400,NA
"3",NA,"Conothele truncicola","ARTHROPODA","ARACHNIDA","ARANEAE","CTENIZIDAE",2442723,2012-11-01,"CR","3.1","A2a+4a","A2a+4a",1,"Decreasing","Yes","Yes","No","No","No","Unknown","Yes","20","300",NA,"2",4,10,10,7,2800,3,400,NA
"4",NA,"Pachnodus fregatensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","CERASTIDAE",6454444,2006-01-11,"EN","3.1","A1a","A1a",1,"Unknown",NA,"No","No",NA,NA,"No","Yes","2","2","7700","1",2,10,6,9,1080,4,180,NA
"5",NA,"Drypetes riseleyi","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PUTRANJIVACEAE",9558008,2007-02-01,"CR","3.1","B1ab(iii,v); C2a(i); D","B1ab(iii,v); C2a(i); D",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"60-100","40-50","3",4,10,2,10,800,5,400,NA
"6",NA,"Mahezomus apicoporus","ARTHROPODA","ARACHNIDA","SCHIZOMIDA","HUBBARDIIDAE",2475271,2012-12-01,"CR","3.1","B1ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,"Yes","20","20",NA,"1",4,10,2,9,720,6,360,NA
"7",NA,"Ariadna ustulata","ARTHROPODA","ARACHNIDA","ARANEAE","SEGESTRIIDAE",2475610,2012-12-01,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","0.07","0.07",NA,"1",4,10,2,9,720,6,360,NA
"8",NA,"Sliferia similis","ARTHROPODA","INSECTA","BLATTODEA","BLATTELLIDAE",2600347,2007-10-25,"CR","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,"Yes","5","5",NA,"1",4,10,2,9,720,6,360,NA
"9",NA,"Glabrennea silhouettensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","STREPTAXIDAE",6459829,2006-01-11,"CR","3.1","B1ab(iii,v)c(iv)+2ab(iii,v)c(iv)","B1ab(iii,v)c(iv)+2ab(iii,v)c(iv)",1,"Unknown","Unknown","Yes","No","No","No",NA,"Yes","0.07","0.07","1000-7560","1",4,10,2,9,720,6,360,NA
"10",NA,"Campnosperma seychellarum","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","ANACARDIACEAE",9548966,2007-02-01,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"51","900-1000",NA,4,10,2,9,720,6,360,NA
"11",NA,"Grisollea thomassetii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARDIOPTERIDALES","STEMONURACEAE",9554528,2007-02-01,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"26","26","950-1000","2",4,10,2,9,720,6,360,NA
"12","Wright's Gardenia","Rothmannia annae","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",9557015,2007-02-01,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"2000-2500","1",4,10,2,9,720,6,360,NA
"13","Jellyfish Tree","Medusagyne oppositifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","OCHNACEAE",10072208,2007-02-01,"CR","3.1","B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(ii)","B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(ii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"5-10","25","86",NA,4,10,2,9,720,6,360,NA
"14",NA,"Glabrennea thomasseti","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","STREPTAXIDAE",12999286,2006-01-11,"CR","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Unknown","Unknown","Yes","No","No","No",NA,"Yes","0.01","80","500-1000","1",4,10,2,9,720,6,360,NA
"15","Seychelles Palm Frog","Sechellophryne pipilodryas","CHORDATA","AMPHIBIA","ANURA","SOOGLOSSIDAE",15435789,2012-04-10,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v)","B1ab(ii,iii,v)+2ab(ii,iii,v)",1,"Unknown","Yes","Yes",NA,NA,"Yes",NA,NA,"7.3","15",NA,"1",4,10,2,9,720,6,360,NA
"16","Mahé Boulder Cricket","Phalangacris alluaudi","ARTHROPODA","INSECTA","ORTHOPTERA","GRYLLIDAE",72317967,2015-03-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes","No","No","No",NA,"Yes","8","8",NA,"2",4,10,2,9,720,6,360,NA
"17","Assumption Scale-Cricket","Arachnocephalus medvedevi","ARTHROPODA","INSECTA","ORTHOPTERA","MOGOPLISTIDAE",107431016,2018-12-14,"CR","3.1","B1ab(i,ii,iii,v)","B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes","12","12-15",NA,"1",4,10,2,9,720,6,360,NA
